opcode_decimal,opcode_hex,compare_address,stub_address,handler_address
3,0x03,0x0002cc8c,0x0002cdc8,0x0002a4ea
4,0x04,0x0002cc96,0x0002cdd2,0x0002a684
5,0x05,0x0002cc9c,0x0002cddc,0x0002c736
6,0x06,0x0002cca2,0x0002cde6,0x0002c7b6
7,0x07,0x0002cca8,0x0002cdf0,0x0002c7d0
8,0x08,0x0002ccae,0x0002cdfa,0x0002c800
10,0x0a,0x0002ccb4,0x0002ce04,0x0002c84e
11,0x0b,0x0002ccba,0x0002ce18,0x0002c8d8
12,0x0c,0x0002ccc0,0x0002ce0e,0x0002c8aa
15,0x0f,0x0002ccc6,0x0002ce22,0x0002b2aa
16,0x10,0x0002cccc,0x0002ce2c,0x0002a6a2
18,0x12,0x0002ccd2,0x0002ce36,0x0002a6e6
19,0x13,0x0002ccd8,0x0002ce40,0x0002a8d4
20,0x14,0x0002ccde,0x0002ce86,0x0002a966
21,0x15,0x0002cce4,0x0002ce90,0x0002a9f0
22,0x16,0x0002ccea,0x0002ce9a,0x0002aa8c
23,0x17,0x0002ccf0,0x0002cea4,0x0002aabe
24,0x18,0x0002ccf6,0x0002ceae,0x0002ab04
25,0x19,0x0002ccfc,0x0002ceb8,0x0002ab7a
26,0x1a,0x0002cd02,0x0002cec2,0x0002abd4
27,0x1b,0x0002cd08,0x0002cecc,0x0002ac14
28,0x1c,0x0002cd0e,0x0002ced6,0x0002ac9e
29,0x1d,0x0002cd14,0x0002cee0,0x0002ad2c
30,0x1e,0x0002cd1a,0x0002ceea,0x0002ad94
31,0x1f,0x0002cd20,0x0002cef4,0x0002ada8
32,0x20,0x0002cd26,0x0002cefe,0x0002ae34
33,0x21,0x0002cd2c,0x0002cf08,0x0002ae62
34,0x22,0x0002cd32,0x0002cf12,0x0002b0cc
35,0x23,0x0002cd38,0x0002cf1c,0x0002ae9c
36,0x24,0x0002cd3e,0x0002cf26,0x0002afe6
37,0x25,0x0002cd44,0x0002cf30,0x0002b016
48,0x30,0x0002cd4a,0x0002ce4a,0x0002c908
49,0x31,0x0002cd4e,0x0002ce54,0x0002c9f4
50,0x32,0x0002cd54,0x0002ce5e,0x0002ca84
51,0x33,0x0002cd5a,0x0002ce68,0x0002cb10
52,0x34,0x0002cd60,0x0002ce72,0x0002cb9e
53,0x35,0x0002cd66,0x0002ce7c,0x0002cc34
56,0x38,0x0002cd6c,0x0002cf3a,0x0002b118
57,0x39,0x0002cd72,0x0002cf44,0x0002b178
58,0x3a,0x0002cd78,0x0002cf4e,0x0002b260
99,0x63,0x0002cd7e,0x0002cf58,0x0002b2e6
100,0x64,0x0002cd84,0x0002cf62,0x0002b35a
112,0x70,0x0002cd8a,0x0002cf76,0x0002bb6e
113,0x71,0x0002cd90,0x0002cf80,0x0002bb8a
114,0x72,0x0002cd96,0x0002cf8a,0x0002bbd6
115,0x73,0x0002cd9c,0x0002cf94,0x0002bc4c
144,0x90,0x0002cda2,0x0002cf9e,0x0002bc86
145,0x91,0x0002cda8,0x0002cfa8,0x0002bec8
146,0x92,0x0002cdae,0x0002cfb2,0x0002bef8
147,0x93,0x0002cdb4,0x0002cfbc,0x0002c078
148,0x94,0x0002cdba,0x0002cfc8,0x0002c240
240,0xf0,0x0002cdc0,0x0002cf6c,0x0002bb46
